carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,2.5793433957709694e-13,4.868267654235468e-13,4.801784377018656e-13,1.0500350995602467e-12,6.777287471461044e-13,1.2513844534168747e-12,4.461351405486379,1.6493343556146444e-12,1.5287146955212869e-12,3.302868436107047e-12,5.641580952397973e-13,1.140112223380063e-10,5.092381594531958e-12,6.862023969878006e-14
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,2.431388423929093e-13,1.0637324354689781e-13,2.431388423929093e-13,1.8235413179468196e-13,1.2156942119645464e-13,1.8235413179468196e-13,2.811292865168014e-13,9.117706589734098e-14,0.0,0.0,0.0
oxygen,14155.179927117068,13908.794265599288,13662.491701569323,13416.214774318649,13170.04030071394,12923.778454352456,12677.455343006965,12431.171067319381,12184.94607183614,11938.508718285288,11692.192131192502,11445.718923756485,11258.811957865819,11232.429049668886
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
